date,consumption,temperature
2025-01-01,314.9,22.5
2025-01-02,295.85,26.8
2025-01-03,319.43,18.5
2025-01-04,345.69,20.4
2025-01-05,292.98,20.0
2025-01-06,292.98,14.7
2025-01-07,347.38,23.5
2025-01-08,323.02,23.3
2025-01-09,285.92,22.0
2025-01-10,316.28,20.8
2025-01-11,286.1,14.9
2025-01-12,286.03,19.9
2025-01-13,307.26,20.3
2025-01-14,242.6,18.0
2025-01-15,248.25,21.2
2025-01-16,283.13,24.0
2025-01-17,269.62,31.4
2025-01-18,309.43,22.9
2025-01-19,272.76,23.3
2025-01-20,257.63,21.6
2025-01-21,343.97,12.4
2025-01-22,293.23,21.9
2025-01-23,302.03,22.3
2025-01-24,257.26,34.3
2025-01-25,283.67,21.0
2025-01-26,303.33,23.5
2025-01-27,265.47,21.8
2025-01-28,311.27,16.2
2025-01-29,281.98,27.7
2025-01-30,291.25,25.8
2025-01-31,281.95,26.0
2025-02-01,355.57,17.5
2025-02-02,299.6,29.0
2025-02-03,268.27,15.0
2025-02-04,324.68,24.9
2025-02-05,263.37,33.0
2025-02-06,306.27,17.0
2025-02-07,241.21,19.2
2025-02-08,260.15,22.5
2025-02-09,305.91,19.5
2025-02-10,322.15,14.2
2025-02-11,305.14,22.3
2025-02-12,296.53,16.7
2025-02-13,290.97,24.4
2025-02-14,255.64,17.4
2025-02-15,278.4,29.7
2025-02-16,286.18,18.1
2025-02-17,331.71,20.4
2025-02-18,310.31,26.1
2025-02-19,247.11,15.8
2025-02-20,309.72,23.1
2025-02-21,288.45,28.5
2025-02-22,279.69,14.0
2025-02-23,318.35,22.9
2025-02-24,330.93,23.3
2025-02-25,327.94,25.9
2025-02-26,274.82,15.8
2025-02-27,290.72,15.4
2025-02-28,309.94,24.6
2025-03-01,329.27,23.5
2025-03-02,285.62,23.3
2025-03-03,294.43,23.7
2025-03-04,266.81,18.6
2025-03-05,264.11,23.2
2025-03-06,324.38,23.5
2025-03-07,340.69,18.4
2025-03-08,297.84,31.3
2025-03-09,330.11,24.4
2025-03-10,310.85,16.0
2025-03-11,280.65,25.3
2025-03-12,310.84,17.1
2025-03-13,346.14,25.9
2025-03-14,298.93,27.8
2025-03-15,346.94,17.9
2025-03-16,221.41,26.8
2025-03-17,324.66,24.1
2025-03-18,302.61,26.1
2025-03-19,291.03,31.5
2025-03-20,302.75,20.8
2025-03-21,240.37,18.2
2025-03-22,293.41,17.6
2025-03-23,310.71,17.9
2025-03-24,344.34,21.6
2025-03-25,284.45,23.7
2025-03-26,275.75,23.4
2025-03-27,284.95,26.1
2025-03-28,327.46,22.1
2025-03-29,309.86,29.3
2025-03-30,284.11,20.7
2025-03-31,315.4,35.6
